Repeat_Unit,smiles,Tg
25-50-10-15,C=C[C@@H](C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)CC=CCC[C@H](C=C)CC=CCCC=CC[C@@H](CC[C@H](C=C)C[C@H](C=C)CC=CCCC=CCC[C@H](C=C)C[C@H](C=C)[C@@H](CCC=CCC[C@H](C=C)[C@@H](C[C@@H](CCC=CCC[C@H](C=C)[C@@H](CC[C@H](C=C)C[C@H](C=C)CC=CC[C@@H](C[C@@H](CCC=CCC[C@H](C=C)C[C@H](C=C)[C@@H](CC[C@H](C=C)CC=CCC[C@H](C=C)[C@@H](CC[C@H](C=C)CC=CCCC=CCC[C@H](C=C)CC=CC[C@@H](CCC=CCC[C@H](C=C)[C@@H](C[C@@H](CC[C@H](C=C)[C@@H](CC[C@H](C=C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)CC=CC[C@@H](CC[C@H](C=C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)[C@@H](C)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1,246.52
35-25-25-25,C=CCCC[C@H](CC=CCCC=CC[C@@H](C=C)CCC=CC[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)CC[C@H](C[C@H](C[C@H](C[C@H](CC=CCCC=CCC[C@H](CC=CCCC=CCC[C@H](C[C@H](C[C@H](C[C@H](CC=CCC[C@H](C[C@H](C[C@H](CC=CCCC=CC[C@@H](C=C)CCC=CCCC=CCCC=CCC[C@H](C[C@H](CC=CCC[C@H](C[C@H](CC=CCCC=CC[C@@H](C=C)CCC=CCCC=CCC[C@H](CC=CCCC=CCC[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)CCC=CCCC=CCCC=CC)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1,249.2
45-30-15-10,C=C[C@@H](C)C[C@H](C=C)C[C@H](C=C)[C@@H](CC[C@H](C=C)[C@@H](C[C@@H](CC[C@H](C=C)CC=CCC[C@H](C=C)[C@@H](CC[C@H](C=C)CC=CC[C@@H](CC[C@H](C=C)[C@@H](C[C@@H](C[C@@H](CCC=CCCC=CC[C@@H](CC[C@H](C=C)[C@@H](CCC=CCC[C@H](C=C)[C@@H](CCC=CC[C@@H](CCC=CCC[C@H](C=C)[C@@H](CC[C@H](C=C)[C@@H](CC[C@H](C=C)C[C@H](C=C)[C@@H](CC[C@H](C=C)CC=CC[C@@H](CC[C@H](C=C)[C@@H](C[C@@H](CCC=CCCC=CC[C@@H](C[C@@H](C[C@@H](CC[C@H](C=C)CC=CC[C@@H](CCC=CCC[C@H](C=C)[C@@H](CCC=CC[C@@H](C[C@@H](C[C@@H](CCC=CCCC=CC[C@@H](C)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1,255.1
55-10-25-10,C=C[C@H](CC=CCCC=CCCC=CCCC=CCC[C@H](C=C)CC=CCCC=CCCC=CC[C@@H](CC[C@H](C=C)[C@@H](CC[C@H](C=C)[C@@H](C[C@@H](C[C@@H](C[C@@H](C[C@@H](C[C@@H](C[C@@H](CCC=CC[C@@H](C[C@@H](CCC=CC[C@@H](CCC=CCCC=CCCC=CC[C@@H](C[C@@H](C[C@@H](CCC=CCCC=CC[C@@H](C[C@@H](C[C@@H](C[C@@H](C[C@@H](C[C@@H](C[C@@H](C[C@@H](C[C@@H](CCC=CC[C@@H](C[C@@H](C[C@@H](C[C@@H](CCC=CCC[C@H](C=C)C[C@H](C=C)[C@@H](CCC=CC[C@@H](CCC=CC[C@@H](CCC=CC[C@@H](C[C@@H](C)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)CCC=CCCC=CC,255.57
5-85-5-5,C=CCC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CCC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@H](C)C=C,228.91
10-80-5-5,C=CCC[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CCCC=CC[C@@H](C=C)CC[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@H](C)C=C)[C]1[CH][CH][CH][CH][CH]1,236.19
15-75-5-5,C=CCC[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CCC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1,240.1
20-70-5-5,C=CCC[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)CCC=CC[C@@H](C=C)CC[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)CC[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@H](CC=CC)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1,244.16
25-65-5-5,C=C[C@@H](C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)CC=CCC[C@H](C=C)CC=CCC[C@H](C=C)C[C@H](C=C)CC=CCC[C@H](C=C)C[C@H](C=C)CC=CCC[C@H](C=C)[C@@H](C[C@@H](CC[C@H](C=C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)[C@@H](CC[C@H](C=C)C[C@H](C=C)[C@@H](CC[C@H](C=C)[C@@H](CC[C@H](C=C)C[C@H](C=C)CC=CCC[C@H](C=C)C[C@H](C=C)C[C@H](C=C)[C@@H](C[C@@H](C[C@@H](CC[C@H](C=C)C[C@H](C=C)C[C@H](C=C)[C@@H](CC[C@H](C=C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)[C@@H](CC[C@H](C=C)CC=CCC[C@H](C=C)C[C@H](C=C)[C@@H](C[C@@H](C[C@@H](CC[C@H](C=C)C[C@H](C=C)[C@@H](CC[C@H](C=C)[C@@H](C)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1,245.67
30-60-5-5,C=CCCCC=CCC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)CCC=CCC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)CCC=CCCC=CC[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)CC[C@H](C[C@H](C[C@H](C[C@H](CC[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1,246.07
35-55-5-5,C=CCCC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)CCC=CCC[C@H](C[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CC[C@H](CC=CCC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@H](C[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@H](CC=CC[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)CC[C@H](C[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@H](C)C=C)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1,246.22
40-50-5-5,C=CCC[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@H](C[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)CCC=CCC[C@H](C[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@H](C[C@H](C[C@H](CC=CC[C@@H](C=C)CCC=CC[C@@H](C=C)CC[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)C[C@@H](C=C)CC[C@H](C[C@@H]([C]1[CH][CH][CH][CH][CH]1)[C@@H](C=C)CCC=CC[C@@H](C=C)CCC=CC[C@@H](C=C)C[C@H](C)C=C)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1,251.24
45-45-5-5,C=C[C@@H](C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)[C@@H](CC[C@H](C=C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)CC=CCC[C@H](C=C)[C@@H](CCC=CC[C@@H](CC[C@H](C=C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)C[C@H](C=C)[C@@H](C[C@@H](CCC=CC[C@@H](C[C@@H](CC[C@H](C=C)[C@@H](C[C@@H](CC[C@H](C=C)C[C@H](C=C)C[C@H](C=C)[C@@H](C[C@@H](C[C@@H](CC[C@H](C=C)[C@@H](C[C@@H](C[C@@H](C[C@@H](C[C@@H](C[C@@H](CC[C@H](C=C)[C@@H](C[C@@H](C[C@@H](C[C@@H](C[C@@H](C[C@@H](CC[C@H](C=C)C[C@H](C=C)[C@@H](CC[C@H](C=C)CC=CCC[C@H](C=C)CC=CC[C@@H](CC[C@H](C=C)[C@@H](CC[C@H](C=C)C[C@H](C=C)CC=CC)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1)[C]1[CH][CH][CH][CH][CH]1,255.15
