Repeat_Unit,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Tg
25-50-10-15,4.677557196,4.677557196,0.269911553,0.269911553,0.042056922,22.34,3998.436,3603.3,3995.067413,1592,90,-0.013021577,-0.102813451,0.102813451,0.013021577,0.08,0.22,0.47,14.55500445,9.643276596,2.510741222,-2.39842966,2.620125455,-2.304227601,5.536442787,0.277594375,0.825253978,0.44178312,8610.207623,213.7192266,186.2550469,186.2550469,147.423345,116.7005226,116.7005226,87.00184528,87.00184528,66.38094061,66.38094061,47.13395929,47.13395929,-11.7,3.22E+111,260.3991726,166.3067534,104.9131705,1865.737339,0,0,0,0,0,0,0,0,0,197.3680705,378.4086808,1305.355963,0,0,0,0,0,0,266.3057721,482.5674529,0,1132.259489,0,0,0,0,0,0,0,0,836.6359845,482.5674529,561.9292769,0,0,0,0,0,0,0,17.75371814,248.5520539,468.7199785,88.76859069,0,0,1057.338373,0,0,0,0,0,0,37.42255914,0,383.8189459,137.258495,0,0.4,300,0,0,15,0,15,0,0,0,0,0,0,177,15,0,15,15,80.2986,1319.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,246.52
35-25-25-25,4.680444897,4.680444897,0.253417659,0.253417659,0.042056922,23.06481481,4298.796,3891.564,4295.161313,1700,126,-0.013022048,-0.103082978,0.103082978,0.013022048,0.077160494,0.200617284,0.382716049,14.58555863,9.630371896,2.541944633,-2.412004893,2.65282318,-2.312436314,5.586892138,0.275443632,0.818853805,0.336184222,9173.13386,226.5225239,198.705676,198.705676,160.2866666,126.2612466,126.2612466,92.19882877,92.19882877,68.7588234,68.7588234,49.43105128,49.43105128,-10.14,2.58E+122,275.6178079,181.133308,116.3838535,2016.598581,0,0,0,0,0,0,0,0,0,98.68403525,382.7892667,1551.861763,0,0,0,0,0,0,207.1267116,546.2727535,0,1279.935599,0,0,0,0,0,0,0,0,1005.589009,546.2727535,481.473302,0,0,0,0,0,0,0,17.75371814,189.3729935,526.5073731,137.1176702,0,0,1162.58331,0,0,0,0,0,0,43.46581598,0,479.303567,67.89728371,0,0.37037037,324,0,0,21,0,21,0,0,0,0,0,0,178,21,0,21,21,84.28084,1407.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,249.2
45-30-15-10,4.764253967,4.764253967,0.231144745,0.231144745,0.042056922,24.9137931,4599.156,4179.828,4595.255213,1808,162,-0.013021758,-0.102813451,0.102813451,0.013021758,0.068965517,0.183908046,0.387931034,14.63622379,9.629492008,2.59326896,-2.412056522,2.700285171,-2.317872505,5.633219649,0.265850518,0.821005779,0.299713429,9818.916051,242.5885554,211.4825785,211.4825785,171.8875534,134.2443582,134.2443582,100.1235598,100.1235598,77.32326882,77.32326882,56.6131907,56.6131907,-8.58,2.86E+133,291.1151752,179.4106078,106.9978175,2167.459824,0,0,0,0,0,0,0,0,0,118.4208423,305.4964395,1761.620133,0,0,0,0,0,0,266.3057721,482.5674529,0,1436.66419,0,0,0,0,0,0,0,0,1292.900154,482.5674529,410.0698074,0,0,0,0,0,0,0,71.01487255,195.2908995,468.7199785,159.7834632,0,0,1264.412458,26.31574273,0,0,0,0,0,53.23993523,0,498.131666,87.1283988,0,0.344827586,348,0,0,27,0,27,0,0,0,0,0,0,177,27,0,27,27,85.38108,1494.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,255.1
55-10-25-10,4.892184796,4.892184796,0.193393909,0.193393909,0.042056922,25.62903226,4899.516,4468.092,4895.349114,1916,198,-0.013021577,-0.102802957,0.102802957,0.013021577,0.067204301,0.166666667,0.325268817,14.66895085,9.604318829,2.626271656,-2.437974042,2.734050757,-2.341517783,5.675984529,0.241551123,0.796362379,0.279758494,10418.45252,256.0443995,224.0963442,224.0963442,184.4066033,143.4068371,143.4068371,106.2242382,106.2242382,80.53459653,80.53459653,59.56636023,59.56636023,-7.02,3.08E+144,306.8222521,191.0742381,116.1232129,2318.321066,0,0,0,0,0,0,0,0,0,39.4736141,298.5727023,1999.693449,0,0,0,0,0,0,230.7983358,521.0923826,0,1585.849047,0,0,0,0,0,0,0,0,1485.524803,521.0923826,331.1225792,0,0,0,0,0,0,0,112.4402149,118.3581209,500.8240866,201.7117211,0,0,1391.24775,13.15787137,0,0,0,0,0,59.51218345,0,582.3079931,31.67982342,0,0.322580645,372,0,0,33,0,33,0,0,0,0,0,0,177,33,0,33,33,88.78692,1581.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,255.57
5-85-5-5,4.586783687,4.586783687,0.21945335,0.21945335,0.053261737,19.36904762,3397.716,3026.772,3394.879612,1376,18,-0.013021577,-0.103082618,0.103082618,0.013021577,0.091269841,0.194444444,0.325396825,14.47651624,9.68006665,2.429111261,-2.362213171,2.542085711,-2.268281595,5.40480615,0.28529228,0.86063299,1.532695084,7420.222802,186.1549916,160.8643787,160.8643787,122.4182811,98.38656449,98.38656449,75.50206384,75.50206384,57.1820875,57.1820875,40.37460198,40.37460198,-14.82,1.47E+88,231.2674853,147.912451,99.41703391,1564.014855,0,0,0,0,0,0,0,0,0,335.5257199,389.7130039,851.48929,0,0,0,0,0,0,313.6490204,430.6979643,0,832.3810291,0,0,0,0,0,0,0,0,427.7150629,430.6979643,718.3149866,0,0,0,0,0,0,0,94.68649674,218.9625237,423.7742271,17.75371814,0,12.15204021,809.3990079,0,0,0,0,0,0,21.47529621,0,238.4894169,225.7019535,0,0.476190476,252,0,0,3,0,3,0,0,0,0,0,0,178,3,0,3,3,74.06332,1144.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.91
10-80-5-5,4.685976064,4.685976064,0.199223069,0.199223069,0.042056922,20.35227273,3547.896,3170.904,3544.926562,1430,36,-0.01302205,-0.103082618,0.103082618,0.01302205,0.090909091,0.212121212,0.386363636,14.51380111,9.643482434,2.467946208,-2.398031196,2.57685854,-2.305641375,5.44863378,0.266895077,0.803556635,0.921282521,7714.893133,193.3723237,167.1712615,167.1712615,128.5553792,102.7935693,102.7935693,78.67611987,78.67611987,60.06516809,60.06516809,42.69203275,42.69203275,-14.04,4.46E+93,238.3337606,150.4597671,97.93505473,1639.445476,0,0,0,0,0,0,0,0,0,315.7889128,371.4849436,965.5553325,0,0,0,0,0,0,313.6490204,430.6979643,0,908.4822042,0,0,0,0,0,0,0,0,541.7811054,430.6979643,680.3501192,0,0,0,0,0,0,0,112.4402149,201.2088056,423.7742271,35.50743628,0,12.15204021,867.7464649,0,0,0,0,0,0,24.99203629,0,266.685486,213.9891444,0,0.454545455,264,0,0,6,0,6,0,0,0,0,0,0,178,6,0,6,6,75.33394,1188.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,236.19
15-75-5-5,4.710070335,4.710070335,0.187113145,0.187113145,0.053261737,21.25,3698.076,3315.036,3694.973512,1484,54,-0.013021577,-0.103082618,0.103082618,0.013021577,0.086956522,0.210144928,0.402173913,14.5428075,9.625593577,2.497757116,-2.416122012,2.605090268,-2.322628996,5.484965875,0.255592869,0.823151657,0.686961152,8011.016114,200.5896559,173.4781444,173.4781444,134.7136452,107.1837374,107.1837374,81.8113124,81.8113124,62.95267329,62.95267329,45.27690833,45.27690833,-13.26,9.17E+100,245.5622153,153.2636564,97.05019715,1714.876097,0,0,0,0,0,0,0,0,0,296.0521058,346.3331461,1086.545112,0,0,0,0,0,0,313.6490204,430.6979643,0,984.5833793,0,0,0,0,0,0,0,0,655.8471479,430.6979643,642.3852519,0,0,0,0,0,0,0,159.7834632,153.8655572,423.7742271,53.26115442,0,6.076020107,925.5910063,6.578935684,0,0,0,0,0,28.41595121,0,294.6212503,202.6294652,0,0.434782609,276,0,0,9,0,9,0,0,0,0,0,0,178,9,0,9,9,76.60456,1231.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.1
20-70-5-5,4.783750934,4.783750934,0.158942444,0.158942444,0.053261737,22.07291667,3848.256,3459.168,3845.020462,1538,72,-0.013022049,-0.103082618,0.103082618,0.013022049,0.083333333,0.208333333,0.392361111,14.56462284,9.626141613,2.519971356,-2.415540398,2.627028933,-2.322101255,5.514896109,0.255112111,0.81689631,0.565495918,8308.544565,207.8069881,179.7850273,179.7850273,140.800233,111.540232,111.540232,85.22749739,85.22749739,65.65444628,65.65444628,47.32635434,47.32635434,-12.48,2.23E+106,252.9246893,156.2745378,97.89735287,1790.306718,0,0,0,0,0,0,0,0,0,276.3152987,328.1050858,1200.611155,0,0,0,0,0,0,313.6490204,430.6979643,0,1060.684554,0,0,0,0,0,0,0,0,769.9131904,430.6979643,604.4203845,0,0,0,0,0,0,0,153.8655572,159.7834632,423.7742271,71.01487255,0,6.076020107,970.7805919,19.73680705,0,0,0,0,0,32.28088082,0,323.0744124,190.3113734,0,0.416666667,288,0,0,12,0,12,0,0,0,0,0,0,178,12,0,12,12,77.87518,1275.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.16
25-65-5-5,4.761087133,4.761087133,0.169674192,0.169674192,0.053261737,22.94,3998.436,3603.3,3995.067413,1592,90,-0.013022049,-0.102813451,0.102813451,0.013022049,0.08,0.203333333,0.406666667,14.58576236,9.626297436,2.541611963,-2.415361764,2.647003824,-2.321972374,5.541672891,0.257942976,0.812047776,0.491589228,8628.207623,215.187457,186.2550469,186.2550469,146.8436834,115.9084307,115.9084307,88.48499046,88.48499046,68.81536185,68.81536185,49.6842201,49.6842201,-11.7,1.38E+112,260.3991726,158.6281663,96.54535039,1865.737339,0,0,0,0,0,0,0,0,0,256.5784917,323.7244998,1300.829723,0,0,0,0,0,0,319.5669265,424.7800583,0,1136.78573,0,0,0,0,0,0,0,0,889.8971389,424.7800583,566.4555171,0,0,0,0,0,0,0,201.2088056,118.3581209,410.9325839,88.76859069,0,6.076020107,1022.893915,32.89467842,0,0,0,0,0,36.14468436,0,348.8817226,180.9735931,0,0.4,300,0,0,15,0,15,0,0,0,0,0,0,177,15,0,15,15,79.0017,1318.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.67
30-60-5-5,4.836559198,4.836559198,0.175035333,0.175035333,0.042056922,23.42307692,4148.616,3747.432,4145.114363,1646,108,-0.013021577,-0.103082794,0.103082794,0.013021577,0.076923077,0.205128205,0.413461538,14.60237861,9.627996697,2.558425201,-2.414672713,2.664273645,-2.315193936,5.564900744,0.254922371,0.81754051,0.405510222,8886.789498,222.0785158,192.2356564,192.2356564,153.1762509,120.4840317,120.4840317,91.27036724,91.27036724,71.29005863,71.29005863,52.21763077,52.21763077,-10.92,1.51E+117,267.9682155,163.5799957,97.86879432,1941.16796,0,0,0,0,0,0,0,0,0,236.8416846,291.6489651,1428.74324,0,0,0,0,0,0,307.7311144,436.6158704,0,1212.886905,0,0,0,0,0,0,0,0,992.1273693,436.6158704,528.4906497,0,0,0,0,0,0,0,189.3729935,118.3581209,436.6158704,106.5223088,0,6.076020107,1047.65709,52.63148547,0,0,0,0,0,39.41606006,0,381.7498402,164.1674331,0,0.384615385,312,0,0,18,0,18,0,0,0,0,0,0,179,18,0,18,18,80.56052,1362.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,246.07
35-55-5-5,4.833989226,4.833989226,0.153869576,0.153869576,0.042056922,24.17592593,4298.796,3891.564,4295.161313,1700,126,-0.013021577,-0.103082978,0.103082978,0.013021577,0.077160494,0.206790123,0.432098765,14.62337998,9.616834196,2.579868625,-2.425022867,2.684921674,-2.330647601,5.591580325,0.250893473,0.810815468,0.392877196,9209.13386,229.4589847,198.705676,198.705676,159.1566856,124.7444098,124.7444098,94.96185369,94.96185369,73.97575987,73.97575987,54.34337881,54.34337881,-10.14,2.67E+123,275.6178079,166.2133935,98.95358358,2016.598581,0,0,0,0,0,0,0,0,0,217.1048776,280.344642,1535.885545,0,0,0,0,0,0,313.6490204,430.6979643,0,1288.98808,0,0,0,0,0,0,0,0,1112.111318,430.6979643,490.5257824,0,0,0,0,0,0,0,183.4550874,130.193933,423.7742271,124.276027,0,0,1119.004305,52.63148547,0,0,0,0,0,44.16053163,0,409.1123466,152.3937885,0,0.37037037,324,0,0,21,0,21,0,0,0,0,0,0,178,21,0,21,21,81.68704,1406.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,246.22
40-50-5-5,4.899135384,4.899135384,0.136305234,0.136305234,0.053261737,24.77678571,4448.976,4035.696,4445.208263,1754,144,-0.013022049,-0.103082618,0.103082618,0.013022049,0.071428571,0.1875,0.383928571,14.64379169,9.61590176,2.600566496,-2.426046493,2.705047109,-2.33143672,5.615447828,0.248085517,0.8286982,0.378005342,9511.867871,236.6763168,205.0125589,205.0125589,165.2601101,129.1177411,129.1177411,98.28542364,98.28542364,76.77893426,76.77893426,56.37210541,56.37210541,-9.36,1.29E+128,283.3365725,169.7508381,100.1672661,2092.029203,0,0,0,0,0,0,0,0,0,197.3680705,262.1165817,1649.951587,0,0,0,0,0,0,313.6490204,430.6979643,0,1365.089255,0,0,0,0,0,0,0,0,1226.17736,430.6979643,452.560915,0,0,0,0,0,0,0,230.7983358,82.85068465,423.7742271,142.0297451,0,6.076020107,1118.644256,105.2629709,0,0,0,0,0,47.02809866,0,438.3157428,140.3228252,0,0.357142857,336,0,0,24,0,24,0,0,0,0,0,0,178,24,0,24,24,82.95766,1449.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.24
45-45-5-5,5.058168366,5.058168366,0.105905178,0.105905178,0.053261737,25.43103448,4599.156,4179.828,4595.255213,1808,162,-0.013021758,-0.102813451,0.102813451,0.013021758,0.07183908,0.189655172,0.408045977,14.66085524,9.602321419,2.617745108,-2.440089294,2.722440169,-2.343518525,5.637272432,0.236039718,0.805345915,0.365722186,9836.916051,244.0567857,211.4825785,211.4825785,171.2785495,133.3849193,133.3849193,101.8230505,101.8230505,79.55869816,79.55869816,59.02154636,59.02154636,-8.58,2.19E+134,291.1151752,172.6398749,101.158818,2167.459824,0,0,0,0,0,0,0,0,0,177.6312635,243.8885214,1764.01763,0,0,0,0,0,0,319.5669265,424.7800583,0,1441.19043,0,0,0,0,0,0,0,0,1346.161309,424.7800583,414.5960476,0,0,0,0,0,0,0,201.2088056,118.3581209,410.9325839,159.7834632,0,0,1236.04402,59.21042115,0,0,0,0,0,51.34389444,0,466.3196892,128.3364164,0,0.344827586,348,0,0,27,0,27,0,0,0,0,0,0,177,27,0,27,27,84.08418,1493.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.15
